A e o n F l u x,Aeon Flux (2005)
A l i e n,Alien (1979)
A n a c o n d a,Anaconda (1997)
B a t m a n&R o b i n,Batman & Robin (1997)
B a t m a n V S u p e r m a n D a w n O f J u s t i c e T h e a t r i c a l,Batman v Superman Dawn of Justice (2016)
B a t t l e f i e l d E a r t h,Battlefield Earth A Saga of the Year 3000 (2000)
B e o w u l f 2007,Beowulf (2007)
C a p t a i n A m e r i c a T h e F i r s t A v e n g e r,Captain America The First Avenger (2011)
C a s a b l a n c a,Casablanca (1942)
C a s i n o R o y a l e,Casino Royale (2006)
C a t s 2019,Cats (2019)
C l a s h O f T h e T i t a n s,Clash of the Titans (2010)
C l o v e r f i e l d,Cloverfield (2008)
C o b r a 1986,Cobra (1986)
C r y s t a l S k u l l,Indiana Jones and the Kingdom of the Crystal Skull (2008)
D a r e d e v i l,Daredevil (2003)
D r a g o n W a r s D W a r,Dragon Wars D-War (2007)
D u n e 2021,Dune (2021)
E r a g o n,Eragon (2006)
F a s t A n d F u r i o u s,Fast & Furious (2009)
G r a v i t y,Gravity (2013)
H a l l o w e e n,Halloween (1978)
H a r r y P o t t e r1A n d T h e S o r c e r e r s S t o n e2001W i z a r d P e o p l e D e a r R e a d e r,Harry Potter and the Sorcerer's Stone (2001)
H a r r y P o t t e r2A n d T h e C h a m b e r O f S e c r e t s,Harry Potter and the Chamber of Secrets (2002)
H a r r y P o t t e r3A n d T h e P r i s o n e r O f A z k a b a n,Harry Potter and the Prisoner of Azkaban (2004)
H a r r y P o t t e r4A n d T h e G o b l e t O f F i r e,Harry Potter and the Goblet of Fire (2005)
H a r r y P o t t e r5A n d T h e O r d e r O f T h e P h o e n i x,Harry Potter and the Order of the Phoenix (2007)
H a r r y P o t t e r6A n d T h e H a l f B l o o d P r i n c e,Harry Potter and the Half-Blood Prince (2009)
H a r r y P o t t e r7A n d T h e D e a t h l y H a l l o w s P a r t1,Harry Potter and the Deathly Hallows Part 1 (2010)
H a r r y P o t t e r8A n d T h e D e a t h l y H a l l o w s P a r t2,Harry Potter and the Deathly Hallows Part 2 (2011)
H e r o e s s01e01,Heroes S01E01 (2006)
H i g h l a n d e r,Highlander (1986)
I A m L e g e n d,I Am Legend (2007)
I n d e p e n d e n c e D a y,Independence Day (1996)
I n d i a n a J o n e s A n d T h e T e m p l e O f D o o m 1984,Indiana Jones and the Temple of Doom (1984)
J a w s 1975,Jaws (1975)
J u r a s s i c P a r k199,Jurassic Park (1993)
J u r a s s i c P a r k I I I,Jurassic Park III (2001)
J u r a s s i c W o r l d 2015,Jurassic World (2015)
J u r a s s i c W o r l d F a l l e n K i n g d o m 2018,Jurassic World Fallen Kingdom (2018)
K r u l l 1983,Krull (1983)
L O T R1F e l l o w s h i p O f T h e R i n g T h e a t r i c a l 2001,The Lord of the Rings The Fellowship of the Ring (2001)
L O T R2T w o T o w e r s T h e a t r i c a l 2002,The Lord of the Rings The Two Towers (2002)
L O T R3R e t u r n O f T h e K i n g T h e a t r i c a l 2003,The Lord of the Rings The Return of the King (2003)
L o s t B o y s,The Lost Boys (1987)
M a t r i x 1999,The Matrix (1999)
M a t r i x R e l o a d e d 2003,The Matrix Reloaded (2003)
M a t r i x R e v o l u t i o n s 2003,The Matrix Revolutions (2003)
M o n e y P l a n e 2020,Money Plane (2020)
M o r t a l K o m b a t 1995,Mortal Kombat (1995)
M o t h r a,Mothra (1961)
N e x t 2007,Next (2007)
O c e a n s E l e v e n,Ocean's Eleven (2001)
O v e r T h e T o p,Over the Top (1987)
P a r a n o r m a l A c t i v i t y,Paranormal Activity (2007)
P i r a t e s O f T h e C a r i b b e a n C u r s e O f T h e B l a c k P e a r l,Pirates of the Caribbean The Curse of the Black Pearl (2003)
P o l t e r g e i s t1982c i r c u l a t e t h e t a p e s,Poltergeist (1982)
P r e d a t o r,Predator (1987)
R a i d e r s o f t h e L o s t A r k,Raiders of the Lost Ark (1981)
R e a d y P l a y e r O n e,Ready Player One (2018)
R e d D a w n,Red Dawn (1984)
R e i g n O f F i r e,Reign of Fire (2002)
R o a d H o u s e 1989,Road House (1989)
R u n n i n g M a n,The Running Man (1987)
S p i d e r M a n 2002,Spider-Man (2002)
S p i d e r M a n2 2004,Spider-Man 2 (2004)
S p i d e r M a n3 2007,Spider-Man 3 (2007)
S t a r T r e k 2009,Star Trek (2009)
S t a r T r e k I I T h e W r a t h O f K h a n 1982,Star Trek II The Wrath of Khan (1982)
S t a r T r e k S04E03,E!'s Inside Star Trek Special (1993)
S t a r W a r s E p i s o d e I I A t t a c k O f T h e C l o n e s,Star Wars Episode II Attack of the Clones (2002)
S t a r W a r s E p i s o d e I I I R e v e n g e O f T h e S i t h,Star Wars Episode III Revenge of the Sith (2005)
S t a r W a r s E p i s o d e I T h e P h a n t o m M e n a c e1999P l i n k e t t,Star Wars Episode I The Phantom Menace (1999)
S t a r W a r s E p i s o d e I V A N e w H o p e 1977,Star Wars Episode IV A New Hope (1977)
S t a r W a r s E p i s o d e I V A N e w H o p e19771080p R i f f t r a x6c h2c h P l i n k e t t,Star Wars Episode IV A New Hope (1977) (2)
S t a r W a r s E p i s o d e V I R e t u r n O f T h e J e d i 1983,Star Wars Episode VI Return of the Jedi (1983)
S t a r W a r s E p i s o d e V I R e t u r n O f T h e J e d i,Star Wars Episode VI Return of the Jedi (1983) (2)
S t a r W a r s E p i s o d e V T h e E m p i r e S t r i k e s B a c k 1980,Star Wars Episode V The Empire Strikes Back (1980)
S t a r W a r s E p i s o d e V T h e E m p i r e S t r i k e s B a c k,Star Wars Episode V The Empire Strikes Back (1980) (2)
S t a r W a r s R o g u e O n e,Rogue One A Star Wars Story (2016)
S t a r W a r s S o l o 2018,Solo A Star Wars Story (2018)
S t a r W a r s T h e L a s t J e d i,Star Wars The Last Jedi (2017)
S t a r s h i p T r o o p e r s,Starship Troopers (1997)
S t r a n g e r T h i n g s s01e01 2016,Stranger Things S01E01 (2016)
S t r e e t F i g h t e r 1994,Street Fighter (1994)
StarWarsSolo2018,Solo A Star Wars Story (2018) (2)
T V S01E01,AMW-TV Episode 01 (2016)
T e r m i n a t o r3R i s e O f T h e M a c h i n e s 2003,Terminator 3 Rise of the Machines (2003)
T h e F i f t h E l e m e n t,The Fifth Element (1997)
T h e G r u d g e,The Grudge (2004)
T h e H a p p e n i n g 2008,The Happening (2008)
T h e I n c r e d i b l e H u l k F i n a l R o u n d1978c i r c u l a t e t h e t a p e s,The Incredible Hulk Final Round (1978)
T h e I s l a n d O f D r M o r e a u,The Island of Dr. Moreau (1996)
T h e S t a r W a r s H o l i d a y S p e c i a l h i g h T V,The Star Wars Holiday Special (1978)
T h e W i z a r d o f O z(1939),The Wizard of Oz (1939)
T h e X F i l e s F i g h t T h e F u t u r e 1998,The X-Files Fight the Future (1998)
T i t a n i c,Titanic (1997)
T o p G u n M a v e r i c k 2022,Top Gun Maverick (2022)
T o t a l R e c a l l M i n d B e n d i n g E d i t i o n 1990,Total Recall Mind-Bending Edition (1990)
W i c k e r M a n,The Wicker Man (1973)
W i l l y W o n k a A n d T h e C h o c o l a t e F a c t o r y,Willy Wonka & the Chocolate Factory (1971)
W o n d e r W o m a n1984 2020,Wonder Woman 1984 (2020)
