VideoName,ImdbTitle,Year
Angels Revenge,Angel's Revenge,1986
Boy Who Didnt Listen,The Boy Who Didn't Listen,1974
Buying Food,Buying Food,1950
Campbells Soup Magic Shelf,,
Cindy Goes To A Party,Cindy Goes to a Party,1955
Consuming Women,Consuming Women,1967
Devil Girl From Mars,Devil Girl from Mars,1954
Duties Of A Secretary,Duties of a Secretary,1947
Have AMJ Christmas And A Bridget New Year,RiffTrax Presents: Have a Mary Jo Christmas and a Bridget New Year!,2015
Improve Your Pronunciation,Improve Your Pronunciation,1972
Katy,Katy Wix,
Last Woman On Earth,Last Woman on Earth,1960
Life In The Suburbs,Life in the Suburbs,2016
On Guard Bunco,On Guard - Bunco!,1974
Phoebe,Phoebe,1964
Prom Its A Pleasure,The Prom: It's a Pleasure!,1961
Shapes We Live With,Shapes We Live With,1970
She Demons,She Demons,1958
Sherlock Holmes Terror By Night,RiffTrax Presents: Sherlock Holmes: Terror by Night,2020
Sherlock Holmes Dressed To Kill,RiffTrax Presents: Sherlock Holmes: Dressed to Kill,2019
Sherlock Holmes Woman In Green,Sherlock Holmes: The Woman in Green (in Color),1945
Social Acceptability,Social Acceptability,1957
Squeak The Squirrel,Squeak the Squirrel,1957
The Snob,The Snob,2019
The Spring Collection,RiffTrax Presents: The Spring Collection,2018
Vacation Days,Vacation Days,1947
Word To The Wives,A Word to the Wives...,1955
A Christmas Dream high,A Christmas Dream,2024
Beyond Christmas,Beyond Christmas in Color,2007
Bridget And Mary Jo Christmas 2016,RiffTrax Presents: The Second Annual Bridget and Mary Jo Christmas Special!,2016
Christmas Dream,Christmas Dream,2000
Christmas Toyshop,Christmas Toyshop,1945
Christmas With Riff Trax Magic Christmas Tree,Christmas with RiffTrax Featuring Magic Christmas Tree,2011
Christmas With Riff Trax Santas Village Of Madness,Christmas with RiffTrax: Santa's Village of Madness,2012
Nestor Tablet,"Nestor, the Long-Eared Christmas Donkey",1977
Night Before Christmas,The Night Before Christmas,2022
Rifftrax Live Christmas Show,The Christmas Show,2022
Riff Trax Live Santa Conquers The Martians,Santa Claus Conquers the Martians,1964
Rudolph,Rudolph the Red-Nosed Reindeer,1964
Santa And The Ice Cream Bunny Rifftrax,Santa and the Ice Cream Bunny,1972
Santa Punch And Judy,Santa Claus' Punch and Judy,1959
300,300,2006
Aeon Flux 2005 1080 p 6 ch 2 ch,,
Alien 1979 1080 p 6 ch 2 ch v 2,,
Anaconda 1080 p 6 ch 2 ch,,
Batman & Robin,Batman and Robin,1949
Batman V Superman Dawn Of Justice Theatrical 2016 1080 p 6 ch 2 ch,,
Battlefield Earth 2000 1080 p 6 ch 2 ch,,
Beowulf 2007 1080 p Rifftrax 6 ch 2 ch,,
Captain America The First Avenger 2011 1080 p 6 ch 2 ch,,
Casablanca,Casablanca,1942
Casino Royale 2006 1080 p 6 ch 2 ch v 2,,
Cats 2019 1080 p Rifftrax 6 ch x 265 HEVC,,
Clash Of The Titans 2010 1080 p 6 ch 2 ch,,
Cloverfield,Cloverfield,2008
Cobra 1986 1080 p Rifftrax 6 ch x 265 HEVC,,
Daredevil,Daredevil,2003
Dragon Wars D War,Dragon Wars: D-War,2007
Dune 2021 1080 p Rifftrax 6 ch x 265 HEVC,,
Eragon 2006,Eragon,2006
Fast And Furious 2009,Fast & Furious,2009
Gravity 2013,Gravity,2013
Halloween 1978,Halloween,1978
Highlander Dual Audio,Highlander,
I Am Legend,I Am Legend,2007
Independence Day 1996,Independence Day,1996
Jaws 1975 1080 p Rifftrax 6 ch 2 ch,,
Krull 1983 1080 p Rifftrax 6 ch x 265 HEVC,,
Lost Boys,Lost Boys,2020
Money Plane 2020 1080 p Rifftrax 6 ch x 265 HEVC,,
Mortal Kombat 1995 1080 p Rifftrax 6 ch x 264 AVC,,
Mothra 1961,Mothra,1961
Next 2007 1080 p Rifftrax 6 ch 2 ch v 2,,
Oceans Eleven 2001,Ocean's Eleven,2001
Over The Top,Over the Top,1987
Paranormal Activity,Paranormal Activity,2007
Pirates Of The Caribbean Curse Of The Black Pearl 2003,Pirates of the Caribbean: The Curse of the Black Pearl,2003
Poltergeist 1982 circulatethetapes,Poltergeist,1982
Predator,Predator,1987
Ready Player One,Ready Player One,2018
Red Dawn 1984,Red Dawn,1984
Reign Of Fire 2002,Reign of Fire,2002
Road House 1989 1080 p Rifftrax 1 3 Riffer Rifftrax 2 Mike 6 ch 2 ch,,
Running Man,The Running Man,2025
Starship Troopers,Starship Troopers,1997
Street Fighter 1994 1080 p Rifftrax 6 ch x 265 HEVC,,
The Fifth Element,The Fifth Element,1997
The Grudge,The Grudge,2004
The Incredible Hulk Final Round 1978 circulatethetapes,RiffTrax: The Incredible Hulk: Final Round,2008
The Island Of Dr Moreau 1996,The Island of Dr. Moreau,1996
The Wizard of Oz ( 1939 ),The Wizard of Oz,1939
The Happening 2008 1080 p Rifftrax 6 ch x 264 AVC,,
The X Files Fight The Future 1998 1080 p Rifftrax 6 ch 2 ch v 2,,
Titanic,Titanic,1997
Top Gun Maverick 2022 1080 p Rifftrax 6 ch x 264 AVC,,
Wicker Man,The Wicker Man,1973
Willy Wonka And The Chocolate Factory 1971,Willy Wonka & the Chocolate Factory,1971
Wonder Woman 1984 2020 1080 p Rifftrax 6 ch x 264 AVC,,
Harry Potter 1 And The Sorcerers Stone 2001 Wizard People Dear Reader,,
Harry Potter 2 And The Chamber Of Secrets 2002,Harry Potter and the Chamber of Secrets,2002
Harry Potter 3 And The Prisoner Of Azkaban 2004,Harry Potter and the Prisoner of Azkaban,2004
Harry Potter 4 And The Goblet Of Fire 2005,Harry Potter and the Goblet of Fire,2005
Harry Potter 5 And The Order Of The Phoenix 2007,Harry Potter and the Order of the Phoenix,2007
Harry Potter 6 And The Half Blood Prince 2009,Harry Potter and the Half-Blood Prince,2009
Harry Potter 7 And The Deathly Hallows Part 1 2010,Harry Potter and the Deathly Hallows: Part 1,2010
Harry Potter 8 And The Deathly Hallows Part 2 2011,Harry Potter and the Deathly Hallows: Part 2,2011
Crystal Skull Rifftrax,Crystal Skulls,2014
Indiana Jones And The Temple Of Doom 1984 1080 p Blu Ray x 264 YIFY,,
Raiders of the Lost Ark Rifftrax,Raiders of the Lost Ark,1981
Jurassic Park III,Jurassic Park III,2001
Jurassic Park 1993 720 p Rifftrax 6 ch 2 ch,,
Jurassic World 2015 1080 p Rifftrax 6 ch 2 ch,,
Jurassic World Fallen Kingdom 2018 1080 p Rifftrax 6 ch x 264 AVC,,
LOTR 1 Fellowship Of The Ring Theatrical 2001,The Lord of the Rings: The Fellowship of the Ring,2001
LOTR 1 Fellowship Of The Ring Theatrical 2001 1080 p Rifftrax 6 ch 2 ch v 2,,
LOTR 2 Two Towers Theatrical 2002,The Lord of the Rings: The Two Towers,2002
LOTR 2 Two Towers Theatrical 2002 1080 p Rifftrax 6 ch 2 ch v 2,,
LOTR 3 Return Of The King Theatrical 2003,The Lord of the Rings: The Return of the King,2003
LOTR 3 Return Of The King Theatrical 2003 1080 p Rifftrax 6 ch 2 ch v 2,,
Matrix 1999 1080 p Rifftrax 6 ch 2 ch,,
Matrix Reloaded 2003 1080 p Rifftrax 6 ch 2 ch,,
Matrix Revolutions 2003 1080 p Rifftrax 6 ch 2 ch,,
Spider Man 2 2004 1080 p Rifftrax 6 ch 2 ch v 2,,
Spider Man 2002 1080 p Rifftrax 6 ch 2 ch v 2,,
Spider Man 3 2007 1080 p Rifftrax 6 ch 2 ch,,
Star Trek 2009 1080 p Rifftrax 6 ch 2 ch,,
Star Trek II The Wrath Of Khan 1982 1080 p Rifftrax 6 ch 2 ch,,
Star Wars Episode I The Phantom Menace 1999 Plinkett,Star Wars: The Phantom Menace,1999
Star Wars Episode II Attack Of The Clones 2002,Star Wars: Episode II - Attack of the Clones,2002
Star Wars Episode III Revenge Of The Sith 2005,Star Wars: Revenge of the Sith,2005
Star Wars Episode IV A New Hope 1977 Plinkett,Star Wars: Episode IV - A New Hope,1977
Star Wars Episode V The Empire Strikes Back 1980,Star Wars: Episode V - The Empire Strikes Back,1980
Star Wars Episode VI Return Of The Jedi 1983,Star Wars: Episode VI - Return of the Jedi,1983
Star Wars Rogue One 2016 x 264,Nissan Rogue: Star Wars Rogue One Battle Tested,2016
Star Wars Solo 2018 x 265 HEVC,Solo: A Star Wars Story,2018
Star Wars The Last Jedi 2017 x 264,Star Wars: Episode VIII - The Last Jedi,2017
Star Wars Episode IV A New Hope 1977 1080 p Rifftrax 6 ch 2 ch Plinkett,,
Star Wars Episode V The Empire Strikes Back 1980 1080 p Rifftrax 6 ch 2 ch v 2,,
