\\amber\Rifftrax\Bridget and Mary Jo\AngelsRevenge.mp4,Angel's Revenge (1986).mp4
\\amber\Rifftrax\Bridget and Mary Jo\BoyWhoDidntListen.mp4,The Boy Who Didn't Listen (1974).mp4
\\amber\Rifftrax\Bridget and Mary Jo\BuyingFood.mp4,Buying Food (1950).mp4
\\amber\Rifftrax\Bridget and Mary Jo\CampbellsSoupMagicShelf.mp4,Campbells Soup Magic Shelf.mp4
\\amber\Rifftrax\Bridget and Mary Jo\CindyGoesToAParty.mp4,Cindy Goes to a Party (1955).mp4
\\amber\Rifftrax\Bridget and Mary Jo\ConsumingWomen.mp4,Consuming Women (1967).mp4
\\amber\Rifftrax\Bridget and Mary Jo\DevilGirlFromMars.mp4,Devil Girl from Mars (1954).mp4
\\amber\Rifftrax\Bridget and Mary Jo\DutiesOfASecretary.mp4,Duties of a Secretary (1947).mp4
\\amber\Rifftrax\Bridget and Mary Jo\HaveAMJChristmasAndABridgetNewYear.mp4,RiffTrax Presents_ Have a Mary Jo Christmas and a Bridget New Year! (2015).mp4
\\amber\Rifftrax\Bridget and Mary Jo\ImproveYourPronunciation.mpg,Improve Your Pronunciation (1972).mpg
\\amber\Rifftrax\Bridget and Mary Jo\Katy.mp4,Katy Wix.mp4
\\amber\Rifftrax\Bridget and Mary Jo\LastWomanOnEarth.mp4,Last Woman on Earth (1960).mp4
\\amber\Rifftrax\Bridget and Mary Jo\LifeInTheSuburbs.mp4,Life in the Suburbs (2016).mp4
\\amber\Rifftrax\Bridget and Mary Jo\OnGuardBunco.mp4,On Guard - Bunco! (1974).mp4
\\amber\Rifftrax\Bridget and Mary Jo\Phoebe.mp4,Phoebe (1964).mp4
\\amber\Rifftrax\Bridget and Mary Jo\Prom-ItsAPleasure.mp4,Prom-ItsAPleasure.mp4
\\amber\Rifftrax\Bridget and Mary Jo\ShapesWeLiveWith.mp4,Shapes We Live With (1970).mp4
\\amber\Rifftrax\Bridget and Mary Jo\SheDemons.mp4,She Demons (1958).mp4
\\amber\Rifftrax\Bridget and Mary Jo\SherlockHolmes-TerrorByNight.mp4,SherlockHolmes-TerrorByNight.mp4
\\amber\Rifftrax\Bridget and Mary Jo\SherlockHolmesDressedToKill.mp4,RiffTrax Presents_ Sherlock Holmes_ Dressed to Kill (2019).mp4
\\amber\Rifftrax\Bridget and Mary Jo\SherlockHolmesWomanInGreen.mp4,Sherlock Holmes_ The Woman in Green (in Color) (1945).mp4
\\amber\Rifftrax\Bridget and Mary Jo\SocialAcceptability.mp4,Social Acceptability (1957).mp4
\\amber\Rifftrax\Bridget and Mary Jo\SqueakTheSquirrel.mp4,Squeak the Squirrel (1957).mp4
\\amber\Rifftrax\Bridget and Mary Jo\TheSnob.mp4,The Snob (2019).mp4
\\amber\Rifftrax\Bridget and Mary Jo\TheSpringCollection.mp4,RiffTrax Presents_ The Spring Collection (2018).mp4
\\amber\Rifftrax\Bridget and Mary Jo\VacationDays.mp4,Vacation Days (1947).mp4
\\amber\Rifftrax\Bridget and Mary Jo\WordToTheWives.mp4,A Word to the Wives (1955).mp4
\\amber\Rifftrax\Christmas\AChristmasDream_high.mp4,AChristmasDream_high.mp4
\\amber\Rifftrax\Christmas\BeyondChristmas.mp4,Beyond Christmas in Color (2007).mp4
\\amber\Rifftrax\Christmas\BridgetAndMaryJoChristmas2016.mp4,RiffTrax Presents_ The Second Annual Bridget and Mary Jo Christmas Special! (2016).mp4
\\amber\Rifftrax\Christmas\ChristmasDream.mpeg,Christmas Dream (2000).mpeg
\\amber\Rifftrax\Christmas\ChristmasToyshop.mp4,Christmas Toyshop (1945).mp4
\\amber\Rifftrax\Christmas\ChristmasWithRiffTrax-MagicChristmasTree.mp4,ChristmasWithRiffTrax-MagicChristmasTree.mp4
\\amber\Rifftrax\Christmas\ChristmasWithRiffTrax-SantasVillageOfMadness.mpeg,ChristmasWithRiffTrax-SantasVillageOfMadness.mpeg
\\amber\Rifftrax\Christmas\Nestor_Tablet.mp4,Nestor_Tablet.mp4
\\amber\Rifftrax\Christmas\NightBeforeChristmas.mpg,The Night Before Christmas (2022).mpg
\\amber\Rifftrax\Christmas\Rifftrax-LiveChristmasShow.wmv,Rifftrax-LiveChristmasShow.wmv
\\amber\Rifftrax\Christmas\RiffTraxLive - SantaConquersTheMartians.mp4,RiffTraxLive - SantaConquersTheMartians.mp4
\\amber\Rifftrax\Christmas\Rudolph.mpg,Rudolph the Red-Nosed Reindeer (1964).mpg
\\amber\Rifftrax\Christmas\Santa And The Ice Cream Bunny - Rifftrax.mpg,Santa And The Ice Cream Bunny - Rifftrax.mpg
\\amber\Rifftrax\Christmas\SantaPunchAndJudy.mpg,Santa Claus' Punch and Judy (1959).mpg
\\amber\Rifftrax\Hangin Out with RiffTrax\Hangin' Out With RiffTrax_ Quiplash 10-13-21.mp4,Hangin' Out With RiffTrax_ Quiplash 10-13-21.mp4
\\amber\Rifftrax\Hangin Out with RiffTrax\Talkin' RiffTrax_ THE ALIEN DEAD.m4v,Talkin' RiffTrax_ THE ALIEN DEAD.m4v
\\amber\Rifftrax\Just the Jokes\Harry Potter\Harry Potter and the Goblet of Fire - Rifftrax.avi,Harry Potter and the Goblet of Fire - Rifftrax.avi
\\amber\Rifftrax\Just the Jokes\Harry Potter\Harry Potter and the Prisoner of Azkaban - Rifftrax.avi,Harry Potter and the Prisoner of Azkaban - Rifftrax.avi
\\amber\Rifftrax\Just the Jokes\Harry Potter\Harry Potter And The Sorcerer's Stone - Rifftrax.avi,Harry Potter And The Sorcerer's Stone - Rifftrax.avi
\\amber\Rifftrax\Just the Jokes\Harry Potter\Harry Potter Order of the Phoenix riff.avi,Harry Potter and the Order of the Phoenix (2007).avi
\\amber\Rifftrax\Just the Jokes\Harry Potter\Harry Potterand the Chamber of Secrets - RiffTrax.avi,Harry Potterand the Chamber of Secrets - RiffTrax.avi
\\amber\Rifftrax\Just the Jokes\Indiana Jones\Indiana.Jones.And.The.Raiders.Of.The.Lost.Ark.1981.1080p.Rifftrax.6ch.2ch.v2.mkv,Indiana.Jones.And.The.Raiders.Of.The.Lost.Ark.1981.1080p.Rifftrax.6ch.2ch.v2.mkv
\\amber\Rifftrax\Just the Jokes\Star Trek\Star Trek - Rifftrax.avi,Star Trek - Rifftrax.avi
\\amber\Rifftrax\Just the Jokes\Star Trek\Star Trek 6 - Rifftrax.avi,Star Trek 6 - Rifftrax.avi
\\amber\Rifftrax\Just the Jokes\Star Trek\Star Trek II - The Wrath of Khan - Rifftrax.mp4,Star Trek II - The Wrath of Khan - Rifftrax.mp4
\\amber\Rifftrax\Just the Jokes\Star Trek\Star Trek V - Rifftrax.avi,Star Trek V - Rifftrax.avi
\\amber\Rifftrax\Just the Jokes\Star Trek\Star Trek VII Generations - Rifftrax.avi,Star Trek VII Generations - Rifftrax.avi
\\amber\Rifftrax\Just the Jokes\Star Trek\Voyager\Star Trek Voyager - Caretaker - Rifftrax.avi,Star Trek Voyager - Caretaker - Rifftrax.avi
\\amber\Rifftrax\Live\Birdemic - RifftraxLive.mp4,Birdemic - RifftraxLive.mp4
\\amber\Rifftrax\Live\Krull.1983.1080p.Rifftrax.6ch.x265.HEVC.mkv,Krull.1983.1080p.Rifftrax.6ch.x265.HEVC.mkv
\\amber\Rifftrax\Live\Rifftrax Live 001 - Plan 9 From Outer Space.mp4,Rifftrax Live 001 - Plan 9 From Outer Space.mp4
\\amber\Rifftrax\Live\Rifftrax Live 002 - Christmas Shorts-stravaganza.mp4,Rifftrax Live 002 - Christmas Shorts-stravaganza.mp4
\\amber\Rifftrax\Live\Rifftrax Live 003 - Reefer Madness.mp4,Rifftrax Live 003 - Reefer Madness.mp4
\\amber\Rifftrax\Live\Rifftrax Live 004 - House On Haunted Hill.mp4,Rifftrax Live 004 - House On Haunted Hill.mp4
\\amber\Rifftrax\Live\Rifftrax Live 005 - Jack The Giant Killer.mp4,Rifftrax Live 005 - Jack The Giant Killer.mp4
\\amber\Rifftrax\Live\Rifftrax Live 006 - Manos The Hands Of Fate.mp4,Rifftrax Live 006 - Manos The Hands Of Fate.mp4
\\amber\Rifftrax\Live\Rifftrax Live 007 - Birdemic.mp4,Rifftrax Live 007 - Birdemic.mp4
\\amber\Rifftrax\Live\Rifftrax Live 009 - Night Of The Living Dead.mp4,Rifftrax Live 009 - Night Of The Living Dead.mp4
\\amber\Rifftrax\Live\Rifftrax Live 013 - (short only) Anaconda - Halloween Party (Live Edition).mp4,Rifftrax Live 013 - (short only) Anaconda - Halloween Party (Live Edition).mp4
\\amber\Rifftrax\Live\Rifftrax Live 014 - Santa Claus.mp4,Rifftrax Live 014 - Santa Claus.mp4
\\amber\Rifftrax\Live\Rifftrax Live 015 - (short only) The Room - At Your Fingertips Floats (Live Edition).mp4,Rifftrax Live 015 - (short only) The Room - At Your Fingertips Floats (Live Edition).mp4
\\amber\Rifftrax\Live\Rifftrax Live 016 - Sharknado 2 The Second One.mp4,Rifftrax Live 016 - Sharknado 2 The Second One.mp4
\\amber\Rifftrax\Live\Rifftrax Live 018 - Santa And The Ice Cream Bunny.mp4,Rifftrax Live 018 - Santa And The Ice Cream Bunny.mp4
\\amber\Rifftrax\Live\Rifftrax Live 020 - MST3K Reunion Show.mp4,Rifftrax Live 020 - MST3K Reunion Show.mp4
\\amber\Rifftrax\Live\Rifftrax Live 021 - (short only) Mothra - Soapy The Germ Fighter.mp4,Rifftrax Live 021 - (short only) Mothra - Soapy The Germ Fighter.mp4
\\amber\Rifftrax\Live\Rifftrax Live 022 - Carnival Of Souls.mp4,Rifftrax Live 022 - Carnival Of Souls.mp4
\\amber\Rifftrax\Live\Rifftrax Live 023 - Samurai Cop.mp4,Rifftrax Live 023 - Samurai Cop.mp4
\\amber\Rifftrax\Live\Rifftrax Live 024 - Summer Shorts Beach Party.mp4,Rifftrax Live 024 - Summer Shorts Beach Party.mp4
\\amber\Rifftrax\Live\Rifftrax Live 025 - (short only) Doctor Who The Five Doctors - Play Safe (Live Edition).mp4,Rifftrax Live 025 - (short only) Doctor Who The Five Doctors - Play Safe (Live Edition).mp4
\\amber\Rifftrax\Live\Rifftrax Live 029 - Star Raiders.mp4,Rifftrax Live 029 - Star Raiders.mp4
\\amber\Rifftrax\Live\Rifftrax Live 033 - Return Of Swamp Thing.mp4,Rifftrax Live 033 - Return Of Swamp Thing.mp4
