\\amber\Rifftrax\Bridget and Mary Jo\AngelsRevenge.mp4,Angel's Revenge (1986).mp4
\\amber\Rifftrax\Bridget and Mary Jo\BoyWhoDidntListen.mp4,The Boy Who Didn't Listen (1974).mp4
\\amber\Rifftrax\Bridget and Mary Jo\BuyingFood.mp4,Buying Food (1950).mp4
\\amber\Rifftrax\Bridget and Mary Jo\CampbellsSoupMagicShelf.mp4,Campbells Soup Magic Shelf.mp4
\\amber\Rifftrax\Bridget and Mary Jo\CindyGoesToAParty.mp4,Cindy Goes to a Party (1955).mp4
\\amber\Rifftrax\Bridget and Mary Jo\ConsumingWomen.mp4,Consuming Women (1967).mp4
\\amber\Rifftrax\Bridget and Mary Jo\DevilGirlFromMars.mp4,Devil Girl from Mars (1954).mp4
\\amber\Rifftrax\Bridget and Mary Jo\DutiesOfASecretary.mp4,Duties of a Secretary (1947).mp4
\\amber\Rifftrax\Bridget and Mary Jo\HaveAMJChristmasAndABridgetNewYear.mp4,RiffTrax Presents_ Have a Mary Jo Christmas and a Bridget New Year! (2015).mp4
\\amber\Rifftrax\Bridget and Mary Jo\ImproveYourPronunciation.mpg,Improve Your Pronunciation (1972).mpg
\\amber\Rifftrax\Bridget and Mary Jo\Katy.mp4,Katy Wix.mp4
\\amber\Rifftrax\Bridget and Mary Jo\LastWomanOnEarth.mp4,Last Woman on Earth (1960).mp4
\\amber\Rifftrax\Bridget and Mary Jo\LifeInTheSuburbs.mp4,Life in the Suburbs (2016).mp4
\\amber\Rifftrax\Bridget and Mary Jo\OnGuardBunco.mp4,On Guard - Bunco! (1974).mp4
\\amber\Rifftrax\Bridget and Mary Jo\Phoebe.mp4,Phoebe (1964).mp4
\\amber\Rifftrax\Bridget and Mary Jo\ShapesWeLiveWith.mp4,Shapes We Live With (1970).mp4
\\amber\Rifftrax\Bridget and Mary Jo\SheDemons.mp4,She Demons (1958).mp4
\\amber\Rifftrax\Bridget and Mary Jo\SherlockHolmesDressedToKill.mp4,RiffTrax Presents_ Sherlock Holmes_ Dressed to Kill (2019).mp4
\\amber\Rifftrax\Bridget and Mary Jo\SherlockHolmesWomanInGreen.mp4,Sherlock Holmes_ The Woman in Green (in Color) (1945).mp4
\\amber\Rifftrax\Bridget and Mary Jo\SocialAcceptability.mp4,Social Acceptability (1957).mp4
\\amber\Rifftrax\Bridget and Mary Jo\SqueakTheSquirrel.mp4,Squeak the Squirrel (1957).mp4
\\amber\Rifftrax\Bridget and Mary Jo\TheSnob.mp4,The Snob (2019).mp4
\\amber\Rifftrax\Bridget and Mary Jo\TheSpringCollection.mp4,RiffTrax Presents_ The Spring Collection (2018).mp4
\\amber\Rifftrax\Bridget and Mary Jo\VacationDays.mp4,Vacation Days (1947).mp4
\\amber\Rifftrax\Bridget and Mary Jo\WordToTheWives.mp4,A Word to the Wives (1955).mp4
\\amber\Rifftrax\Christmas\BeyondChristmas.mp4,Beyond Christmas in Color (2007).mp4
\\amber\Rifftrax\Christmas\BridgetAndMaryJoChristmas2016.mp4,RiffTrax Presents_ The Second Annual Bridget and Mary Jo Christmas Special! (2016).mp4
\\amber\Rifftrax\Christmas\ChristmasDream.mpeg,Christmas Dream (2000).mpeg
\\amber\Rifftrax\Christmas\ChristmasToyshop.mp4,Christmas Toyshop (1945).mp4
\\amber\Rifftrax\Christmas\NightBeforeChristmas.mpg,The Night Before Christmas (2022).mpg
\\amber\Rifftrax\Christmas\Rudolph.mpg,Rudolph the Red-Nosed Reindeer (1964).mpg
\\amber\Rifftrax\Christmas\SantaPunchAndJudy.mpg,Santa Claus' Punch and Judy (1959).mpg
\\amber\Rifftrax\Just the Jokes\Harry Potter\Harry Potter Order of the Phoenix riff.avi,Harry Potter and the Order of the Phoenix (2007).avi
\\amber\Rifftrax\Live\RiffTraxLiveSharknado.mp4,Sharknado (2013).mp4
\\amber\Rifftrax\Mathew J Elliot\AssignmentOuterSpace.mp4,Assignment_ Outer Space (1960).mp4
\\amber\Rifftrax\Mathew J Elliot\AtomAgeVampire.mp4,Atom Age Vampire (1960).mp4
\\amber\Rifftrax\Mathew J Elliot\KingOfKongIsland.mpeg,King of Devil's Island (2010).mpeg
\\amber\Rifftrax\Mathew J Elliot\PlanetOutlaws.mp4,Planet Outlaws (1953).mp4
\\amber\Rifftrax\Mathew J Elliot\PurpleDeathFromOuterSpace.mp4,Purple Death from Outer Space (1966).mp4
\\amber\Rifftrax\Mathew J Elliot\Snowbeast.mp4,Snowbeast (1977).mp4
\\amber\Rifftrax\Shorts\ABadgersBadDay.mp4,A Badger's Bad Day (1959).mp4
\\amber\Rifftrax\Shorts\ABoyOfIndia.wmv,A Nice Indian Boy (2024).wmv
\\amber\Rifftrax\Shorts\ACaseOfSpringFever.mp4,A Case of Spring Fever (1940).mp4
\\amber\Rifftrax\Shorts\ADayOfThanksgiving.mp4,A Day of Thanksgiving (1951).mp4
\\amber\Rifftrax\Shorts\Alcohol.wmv,Alcohol (2026).wmv
\\amber\Rifftrax\Shorts\BehaveBernard.mp4,"Behave, Bernard! (1983).mp4"
\\amber\Rifftrax\Shorts\BillysHelicopterRide[iPod].mp4,Billy's Helicopter Ride (1962).mp4
\\amber\Rifftrax\Shorts\ChipmunkFamily.mpeg,Chipman Family.mpeg
\\amber\Rifftrax\Shorts\CleanAndNeatWithHarvAndMarv.mp4,Clean and Neat with Harv and Marv (1975).mp4
\\amber\Rifftrax\Shorts\CookingTerms.mp4,On Speaking Terms (1997).mp4
\\amber\Rifftrax\Shorts\CooksAndChefs.wmv,Cooks and Chefs (1970).wmv
\\amber\Rifftrax\Shorts\CorkytheCrow.wmv,Corky the Crow (1960).wmv
\\amber\Rifftrax\Shorts\CountyFair.wmv,County Fair (1950).wmv
\\amber\Rifftrax\Shorts\CourtesyCountsALot.mpg,Courtesy Counts a Lot (1976).mpg
\\amber\Rifftrax\Shorts\DangerKeepOut.wmv,Danger Keep Out! (1987).wmv
\\amber\Rifftrax\Shorts\DavidAndHazel.wmv,David and Hazel_ A Story in Communication (1964).wmv
\\amber\Rifftrax\Shorts\Dinosaurs.mpg,Dinosaurs (2023).mpg
\\amber\Rifftrax\Shorts\DuckAndCover.mp4,Duck and Cover (1952).mp4
\\amber\Rifftrax\Shorts\FashionHorizons.mp4,Fashion Horizons (1940).mp4
\\amber\Rifftrax\Shorts\FlashThatSmile.mp4,Flash That Smile (1984).mp4
\\amber\Rifftrax\Shorts\Friends.mp4,Friends (1994).mp4
\\amber\Rifftrax\Shorts\Friends.wmv,Friends (1994).wmv
\\amber\Rifftrax\Shorts\FrustratingFours.mp4,The Frustrating Fours and Fascinating Fives (1953).mp4
\\amber\Rifftrax\Shorts\GettingAngry.mp4,Getting Angry (1966).mp4
\\amber\Rifftrax\Shorts\GoodbyeWeeds.mpg,"Goodbye, Weeds (1946).mpg"
\\amber\Rifftrax\Shorts\HareAndTheTortoise.mpeg,The Hare and the Tortoise (1979).mpeg
\\amber\Rifftrax\Shorts\HowToBeCourteousToMaryJo.mp4,How to Be Awesome at Your Job (2016).mp4
\\amber\Rifftrax\Shorts\HowToKeepAJob.mp4,How to Keep a Job (1949).mp4
\\amber\Rifftrax\Shorts\ImproveYourPronunciation.mpg,Improve Your Pronunciation (1972) (2).mpg
\\amber\Rifftrax\Shorts\JackAndTheBeanstalk.mp4,Jack and the Beanstalk (2009).mp4
\\amber\Rifftrax\Shorts\JimmyOfTheSafetyPatrol.mpeg,Jimmy of the Safety Patrol (1950).mpeg
\\amber\Rifftrax\Shorts\JoinHandsLetGo.wmv,"Join Hands, Let Go! (1969).wmv"
\\amber\Rifftrax\Shorts\JoyRide.mpeg,Joy Ride (2023).mpeg
\\amber\Rifftrax\Shorts\JuanandHisDonkey.mpeg,Alim and His Donkey (1978).mpeg
\\amber\Rifftrax\Shorts\Kangaroos.wmv,Kangaroos (1953).wmv
\\amber\Rifftrax\Shorts\LetsGiveKittyABath.mp4,Let's Give Kitty a Bath! (1985).mp4
\\amber\Rifftrax\Shorts\LitterMonster.mp4,The Litter Monster (1970).mp4
\\amber\Rifftrax\Shorts\MaintainingClassroomDiscipline.mpeg,Maintaining Classroom Discipline (1947).mpeg
\\amber\Rifftrax\Shorts\MakingSenseWithSentences.mpg,Making Sense with Sentences (1975).mpg
\\amber\Rifftrax\Shorts\MakingSenseWithSentences.wmv,Making Sense with Sentences (1975).wmv
\\amber\Rifftrax\Shorts\MarriageIsAPartnership.mp4,Marriage Is a Partnership (1951).mp4
\\amber\Rifftrax\Shorts\MonkeySeeMonkeyDo.mpg,"Monkey See, Monkey Do (2009).mpg"
\\amber\Rifftrax\Shorts\MysteriousMessage.wmv,The Mysterious Message (1982).wmv
\\amber\Rifftrax\Shorts\NightBeforeChristmas.mpeg,The Night Before Christmas (2022).mpeg
\\amber\Rifftrax\Shorts\NormanChecksIn.mpeg,Norman Checks In (1984).mpeg
\\amber\Rifftrax\Shorts\NormanChecksIn.mpg,Norman Checks In (1984).mpg
\\amber\Rifftrax\Shorts\NormanGivesASpeech.mp4,Norman Gives a Speech (1989).mp4
\\amber\Rifftrax\Shorts\Nutrition.mpg,Nutrition Nerd (2019).mpg
\\amber\Rifftrax\Shorts\OhBoyBabies.mp4,Oh Boy Babies.mp4
\\amber\Rifftrax\Shorts\OneTurkeyTwoTurkey.wmv,"One Turkey, Two Turkey (1971).wmv"
\\amber\Rifftrax\Shorts\PaperAndI.wmv,Paper and I (1960).wmv
\\amber\Rifftrax\Shorts\PricklyThePorcupine.wmv,Prickly the Porcupine (1955).wmv
\\amber\Rifftrax\Shorts\ReadingFromNowOn.mpg,Reading from Now On (1969).mpg
\\amber\Rifftrax\Shorts\ReadingFromNowOn.wmv,Reading from Now On (1969).wmv
\\amber\Rifftrax\Shorts\ReadOnFromLeftToRight.mp4,From Left to Right (1989).mp4
\\amber\Rifftrax\Shorts\RediscoveryPuppets.mp4,Puppets (1967).mp4
\\amber\Rifftrax\Shorts\RescueMan.mpeg,Rescueman (1982).mpeg
\\amber\Rifftrax\Shorts\SafeLivingAtSchool.mpeg,Safe Living at School (1948).mpeg
\\amber\Rifftrax\Shorts\SailingAToyBoat.wmv,Sailing a Toy Boat (1952).wmv
\\amber\Rifftrax\Shorts\SeniorPower.mp4,Senior Power (1975).mp4
\\amber\Rifftrax\Shorts\SettingUpARoom.wmv,Setting Up a Room (1967).wmv
